task,entity_type,layer,metric,value,notes
task2,ALL,layer_0,f1_ablated,0.30327868852459017,ablation
task2,ALL,layer_0,f1_delta,0.016393442622950838,ablation
task2,ORG,layer_0,f1_ablated,0.2268041237113402,ablation
task2,ORG,layer_0,f1_delta,-0.02061855670103091,ablation
task2,LOC,layer_0,f1_ablated,0.3018867924528302,ablation
task2,LOC,layer_0,f1_delta,0.0,ablation
task2,MISC,layer_0,f1_ablated,0.5882352941176471,ablation
task2,MISC,layer_0,f1_delta,0.0,ablation
task2,PER,layer_0,f1_ablated,0.33766233766233766,ablation
task2,PER,layer_0,f1_delta,0.07792207792207789,ablation
task2,ALL,layer_1,f1_ablated,0.2213114754098361,ablation
task2,ALL,layer_1,f1_delta,-0.06557377049180324,ablation
task2,ORG,layer_1,f1_ablated,0.17821782178217824,ablation
task2,ORG,layer_1,f1_delta,-0.06920485863019288,ablation
task2,LOC,layer_1,f1_ablated,0.31999999999999995,ablation
task2,LOC,layer_1,f1_delta,0.018113207547169774,ablation
task2,MISC,layer_1,f1_ablated,0.35294117647058826,ablation
task2,MISC,layer_1,f1_delta,-0.23529411764705882,ablation
task2,PER,layer_1,f1_ablated,0.18421052631578944,ablation
task2,PER,layer_1,f1_delta,-0.07552973342447034,ablation
task2,ALL,layer_2,f1_ablated,0.2950819672131148,ablation
task2,ALL,layer_2,f1_delta,0.008196721311475474,ablation
task2,ORG,layer_2,f1_ablated,0.2,ablation
task2,ORG,layer_2,f1_delta,-0.047422680412371104,ablation
task2,LOC,layer_2,f1_ablated,0.31999999999999995,ablation
task2,LOC,layer_2,f1_delta,0.018113207547169774,ablation
task2,MISC,layer_2,f1_ablated,0.5882352941176471,ablation
task2,MISC,layer_2,f1_delta,0.0,ablation
task2,PER,layer_2,f1_ablated,0.33766233766233766,ablation
task2,PER,layer_2,f1_delta,0.07792207792207789,ablation
task2,ALL,layer_3,f1_ablated,0.20661157024793386,ablation
task2,ALL,layer_3,f1_delta,-0.08027367565370547,ablation
task2,ORG,layer_3,f1_ablated,0.10638297872340426,ablation
task2,ORG,layer_3,f1_delta,-0.14103970168896685,ablation
task2,LOC,layer_3,f1_ablated,0.2962962962962963,ablation
task2,LOC,layer_3,f1_delta,-0.005590496156533897,ablation
task2,MISC,layer_3,f1_ablated,0.5,ablation
task2,MISC,layer_3,f1_delta,-0.08823529411764708,ablation
task2,PER,layer_3,f1_ablated,0.20512820512820512,ablation
task2,PER,layer_3,f1_delta,-0.05461205461205465,ablation
task2,ALL,layer_4,f1_ablated,0.20491803278688525,ablation
task2,ALL,layer_4,f1_delta,-0.08196721311475408,ablation
task2,ORG,layer_4,f1_ablated,0.1188118811881188,ablation
task2,ORG,layer_4,f1_delta,-0.1286107992242523,ablation
task2,LOC,layer_4,f1_ablated,0.31999999999999995,ablation
task2,LOC,layer_4,f1_delta,0.018113207547169774,ablation
task2,MISC,layer_4,f1_ablated,0.35294117647058826,ablation
task2,MISC,layer_4,f1_delta,-0.23529411764705882,ablation
task2,PER,layer_4,f1_ablated,0.2105263157894737,ablation
task2,PER,layer_4,f1_delta,-0.04921394395078607,ablation
task2,ALL,layer_5,f1_ablated,0.31967213114754095,ablation
task2,ALL,layer_5,f1_delta,0.03278688524590162,ablation
task2,ORG,layer_5,f1_ablated,0.24242424242424243,ablation
task2,ORG,layer_5,f1_delta,-0.0049984379881286845,ablation
