task,entity_type,layer,metric,value,notes
task2,PER,layer_0,mean_present,9.871897150258549e-06,logit_lens
task2,PER,layer_0,mean_absent,9.818042782570819e-06,logit_lens
task2,PER,layer_0,emergence_score,5.385436768772954e-08,logit_lens
task2,ORG,layer_0,mean_present,3.079622983932495e-05,logit_lens
task2,ORG,layer_0,mean_absent,3.061393896738688e-05,logit_lens
task2,ORG,layer_0,emergence_score,1.822908719380665e-07,logit_lens
task2,LOC,layer_0,mean_present,5.530664719730975e-06,logit_lens
task2,LOC,layer_0,mean_absent,5.572779565794855e-06,logit_lens
task2,LOC,layer_0,emergence_score,-4.2114846063880526e-08,logit_lens
task2,MISC,layer_0,mean_present,2.4958893104835794e-05,logit_lens
task2,MISC,layer_0,mean_absent,2.4886489603560783e-05,logit_lens
task2,MISC,layer_0,emergence_score,7.240350127501067e-08,logit_lens
task2,PER,layer_1,mean_present,1.2722171720911245e-05,logit_lens
task2,PER,layer_1,mean_absent,1.2565859787755732e-05,logit_lens
task2,PER,layer_1,emergence_score,1.5631193315551236e-07,logit_lens
task2,ORG,layer_1,mean_present,5.3641200065612796e-05,logit_lens
task2,ORG,layer_1,mean_absent,5.333820978800456e-05,logit_lens
task2,ORG,layer_1,emergence_score,3.0299027760823794e-07,logit_lens
task2,LOC,layer_1,mean_present,4.4114618416292125e-06,logit_lens
task2,LOC,layer_1,mean_absent,4.4601595299875635e-06,logit_lens
task2,LOC,layer_1,emergence_score,-4.8697688358350983e-08,logit_lens
task2,MISC,layer_1,mean_present,3.1983410870587385e-05,logit_lens
task2,MISC,layer_1,mean_absent,3.189572020073158e-05,logit_lens
task2,MISC,layer_1,emergence_score,8.769066985580816e-08,logit_lens
task2,PER,layer_2,mean_present,9.994037815781891e-06,logit_lens
task2,PER,layer_2,mean_absent,9.839054491880128e-06,logit_lens
task2,PER,layer_2,emergence_score,1.549833239017631e-07,logit_lens
task2,ORG,layer_2,mean_present,4.545450210571289e-05,logit_lens
task2,ORG,layer_2,mean_absent,4.54405943552653e-05,logit_lens
task2,ORG,layer_2,emergence_score,1.390775044759205e-08,logit_lens
task2,LOC,layer_2,mean_present,5.580933697252389e-06,logit_lens
task2,LOC,layer_2,mean_absent,5.493051985390166e-06,logit_lens
task2,LOC,layer_2,emergence_score,8.788171186222266e-08,logit_lens
